MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,Status
-0.06328804518092208,-0.6921616029221431,-0.2204212621118059,-0.05727423110928332,-0.3045174163605091,-2.4655379774633057,-1.8831067441304288,-1.4800337474133236,-2.0786353644433753,-0.2876857311500217,-2.7826911557917358,-1.9585859770410354,-1.4290139492910132,-1.8287786715135823,0
-1.2183832608573062,-1.2814233506085644,-0.30621219991975696,-0.3251361064711453,-0.3045174163605091,-0.13128815572234495,-0.4832137518729115,0.37330581555236303,0.7764755634469008,-0.2876857311500217,-0.1310017362457082,-0.4448172552541741,0.46855487253304884,0.6171603220166149,1
1.091807170495462,0.9446765850956935,-0.048839386495903823,-0.05727423110928332,-0.3045174163605091,-0.13128815572234495,-1.8831067441304288,-1.4800337474133236,-2.0786353644433753,-0.2876857311500217,-0.1310017362457082,-1.9585859770410354,-1.4290139492910132,-1.8287786715135823,0
1.1559791269219277,0.9446765850956935,-0.2204212621118059,-0.3251361064711453,-0.3045174163605091,-0.13128815572234495,-0.016582754453739097,0.37330581555236303,0.5725390685975954,-0.2876857311500217,-0.1310017362457082,0.5643618926037334,0.15229340222903848,0.4290111686681381,1
1.091807170495462,1.010150112616407,-0.048839386495903823,-0.05727423110928332,-0.3045174163605091,-0.13128815572234495,0.2167327442558471,0.06441588839141525,0.36860257374829,-0.2876857311500217,-0.1310017362457082,-0.4448172552541741,0.46855487253304884,0.6171603220166149,1
1.091807170495462,0.9446765850956935,-0.048839386495903823,-0.14656152289657065,-0.3045174163605091,-0.5203297926791717,0.4500482429654333,0.06441588839141525,0.16466607889898455,-0.2876857311500217,-0.5729499728367128,2.3304254013550714,0.15229340222903848,0.2408620153196614,1
-0.06328804518092208,1.010150112616407,-0.13463032430385485,-0.012630585215639657,-0.3045174163605091,0.25775348123448183,0.2167327442558471,0.6821957427133108,0.5725390685975954,-0.2876857311500217,0.7528947369363009,0.05977231867477963,1.1010778131410695,0.8053094753650915,1
1.091807170495462,0.9446765850956935,-0.048839386495903823,-0.05727423110928332,-0.3045174163605091,-0.5203297926791717,-0.7165292505824977,-1.4800337474133236,-2.0786353644433753,-0.2876857311500217,-0.5729499728367128,-0.697112042218651,-1.4290139492910132,-1.8287786715135823,0
-1.2183832608573062,-1.4123704056499913,-0.048839386495903823,-0.05727423110928332,-0.3045174163605091,-0.13128815572234495,-0.016582754453739097,0.37330581555236303,0.5725390685975954,-0.2876857311500217,-0.1310017362457082,-0.19252246828969724,0.46855487253304884,0.8053094753650915,1
-1.2183832608573062,-0.23384691027714888,-0.26331673101578146,-0.14656152289657065,-0.3045174163605091,-0.13128815572234495,0.2167327442558471,0.06441588839141525,0.16466607889898455,-0.2876857311500217,-0.1310017362457082,1.5735410404616408,-0.7964910086829925,0.6171603220166149,0
